FID,fid,the_geom,id,longitud0,latitude1,porta_ab2,cod_cnes3,nome_est4,nomecomp5,cod_tipo6,tipo
saude_sala_situacao_2.78,78,MULTIPOINT ((204917.00896042318 8239618.94811633)),77,-47.755795,-15.905074,sim,3742873,UBS 9 São Sebastião,UBS 9 RESIDENCIAL DO BOSQUE 1 - SAO SEBASTIAO,2,UBS
saude_sala_situacao_2.79,79,MULTIPOINT ((203293.17450494756 8238345.510640146)),78,-47.771105,-15.916379,sim,3781402,UBS 7 São Sebastião,UBS 7 MORRO DA CRUZ - SAO SEBASTIAO,2,UBS
saude_sala_situacao_2.80,80,MULTIPOINT ((184782.56147112855 8250899.520916682)),79,-47.942181,-15.800747,sim,0010731,UBS 1 Cruzeiro,UBS 1 CRUZEIRO,2,UBS
saude_sala_situacao_2.81,81,MULTIPOINT ((181498.49902993365 8242144.04467569)),80,-47.973962,-15.879377,sim,7236778,UBS 2 Núcleo Bandeirante,UBS 02 NUCLEO BANDEIRANTE,2,UBS
saude_sala_situacao_2.82,82,MULTIPOINT ((163868.62807035976 8249624.38124709)),81,-48.13736111,-15.80952778,sim,7347723,UBS 15 Ceilândia,UBS 15 VILA OLIMPICA CEILANDIA,2,UBS
saude_sala_situacao_2.83,83,MULTIPOINT ((203949.74251014186 8239095.588946347)),82,-47.764885426,-15.909684478,sim,7423489,UBS 12 São Sebastião,UBS 12 SAO JOSE - SAO SEBASTIAO,2,UBS
saude_sala_situacao_2.84,84,MULTIPOINT ((170231.72792187065 8243815.24657722)),83,-48.078827,-15.862819,sim,0010642,UBS 1 Samambaia,UBS 01 SAMAMBAIA,2,UBS
saude_sala_situacao_2.85,85,MULTIPOINT ((178666.49625280907 8227586.317700465)),84,-48.002336,-16.0104389,sim,3144593,UBS 5 Santa Maria,UBS 5 SANTA MARIA,2,UBS
saude_sala_situacao_2.86,86,MULTIPOINT ((164315.9153698765 8246884.926888964)),85,-48.133572,-15.834317,sim,9475931,UBS 16 Ceilândia,UBS 16 CEILANDIA,2,UBS
saude_sala_situacao_2.87,87,MULTIPOINT ((161803.36187708174 8227501.242048532)),86,-48.159738,-16.008947,sim,3144615,UBS 12 Gama,UBS 12 PONTE ALTA GAMA,2,UBS
saude_sala_situacao_2.88,88,MULTIPOINT ((166397.56869527907 8245496.757606791)),87,-48.114353,-15.847128,sim,9509356,UBS 17 Ceilândia,UBS 17 CEILANDIA,2,UBS
saude_sala_situacao_2.89,89,MULTIPOINT ((160213.75347764377 8256941.074417733)),88,-48.17041,-15.742987,sim,9548203,UBS 9 Brazlândia,UBS 9 ZONA RURAL DE BRAZLANDIA,2,UBS
saude_sala_situacao_2.90,90,MULTIPOINT ((201994.14005845517 8253450.678513345)),89,-47.781357,-15.779826,sim,9572511,UBS 3 Paranoá,UBS 3 - PARANOA PARQUE,2,UBS
saude_sala_situacao_2.91,91,MULTIPOINT ((216120.80821103643 8264767.631587015)),90,-47.64829,-15.679269,sim,2672235,UBS 9 Planaltina,UBS 9 SANTOS DUMONT PLANALTINA,2,UBS
saude_sala_situacao_2.92,92,MULTIPOINT ((171295.4929274206 8242086.741860798)),91,-48.069142,-15.878564,sim,0010685,UBS 4 Samambaia,UBS 04 SAMAMBAIA,2,UBS
saude_sala_situacao_2.93,93,MULTIPOINT ((166921.68598889787 8242343.18287606)),92,-48.109902,-15.875666,sim,0010774,UBS 2 Samambaia,UBS 02 SAMAMBAIA,2,UBS
saude_sala_situacao_2.94,94,MULTIPOINT ((170306.19992440013 8247104.323016474)),93,-48.077682,-15.833137,sim,0010936,UBS 3 Taguatinga,UBS 03 TAGUATINGA,2,UBS
saude_sala_situacao_2.95,95,MULTIPOINT ((171891.3279716185 8246767.512184487)),94,-48.062946,-15.836387,sim,0010952,UBS 6 Taguatinga,UBS 06 TAGUATINGA,2,UBS
saude_sala_situacao_2.96,96,MULTIPOINT ((172288.61073261226 8239484.6289799325)),95,-48.060234,-15.902186,sim,0011134,UBS 2 Recanto das Emas,UBS 02 RECANTO DAS EMAS,2,UBS
saude_sala_situacao_2.97,97,MULTIPOINT ((168724.36808089988 8248413.683782272)),96,-48.092253,-15.821107,sim,2617269,UBS 8 Taguatinga,UBS 08 TAGUATINGA,2,UBS
saude_sala_situacao_2.98,98,MULTIPOINT ((168145.19899262598 8232515.181453862)),97,-48.099852,-15.964549,sim,2779331,UBS 7  Recanto das Emas,UBS 07 RECANTO DAS EMAS - CASA GRANDE,2,UBS
saude_sala_situacao_2.99,99,MULTIPOINT ((154347.06487805594 8235278.667810443)),98,-48.228196,-15.937712,sim,2804247,UBS 8 Recanto das Emas,UBS 08 RECANTO DAS EMAS - SAO FRANCISCO,2,UBS
saude_sala_situacao_2.100,100,MULTIPOINT ((167387.6337558034 8235985.625666687)),99,-48.106438,-15.933119,sim,3144623,UBS 10 Recanto das Emas,UBS 10 RECANTO DAS EMAS,2,UBS
saude_sala_situacao_2.101,101,MULTIPOINT ((169389.49341229274 8241432.378384269)),100,-48.08701,-15.884218,sim,3633845,UBS 10 Samambaia,UBS 10 SAMAMBAIA,2,UBS
saude_sala_situacao_2.102,102,MULTIPOINT ((176114.26538404176 8244262.729523139)),101,-48.023901,-15.859553,sim,3742822,UBS 2 Águas Claras,UBS 02 AGUAS CLARAS,2,UBS
saude_sala_situacao_2.103,103,MULTIPOINT ((166615.43748191377 8240422.619089022)),102,-48.113025,-15.892962,sim,3742857,UBS 9 Samambaia,UBS 09 SAMAMBAIA,2,UBS
saude_sala_situacao_2.104,104,MULTIPOINT ((165773.4674896219 8239788.15235403)),103,-48.120967,-15.898576,sim,6921736,UBS 5 Samambaia,UBS 05 SAMAMBAIA,2,UBS
saude_sala_situacao_2.105,105,MULTIPOINT ((172424.86532425834 8243038.860296675)),104,-48.058478,-15.870118,sim,7053754,UBS 6 Samambaia,UBS 06 SAMAMBAIA,2,UBS
saude_sala_situacao_2.106,106,MULTIPOINT ((172973.28251303162 8237139.418800905)),105,-48.054167,-15.923448,sim,7059892,UBS 5 Recanto das Emas,UBS 05 RECANTO DAS EMAS,2,UBS
saude_sala_situacao_2.107,107,MULTIPOINT ((172302.46583450615 8239512.081915587)),106,-48.060101,-15.90194,sim,7059957,UBS 9 Recanto das Emas,UBS 09 RECANTO DAS EMAS,2,UBS
