FID,fid,the_geom,id,endereco,orgao,telefone,unidade_op,sigla,cpr,georef,area_upm,atualizaca,nome_ra,tipo_2
seguranca_2.137,137,MULTIPOINT ((186277.72240000032 8250349.9325)),137,SQSW 104 Área Especial - Sudoeste,PMDF,3342 2033 - 99831362,1º Batalhao Policiamento de Transito,1 ºBPTrans,CPRM,NUACRI/SOSP,1º BPTran,,Sudoeste,Batalhao da PM
seguranca_2.138,138,MULTIPOINT ((194370.2625000002 8251003.8334)),138,Via N-1 Lt 04 Leste Área Especial S/Nº,CBMDF,3901 2961,1º Grupamento de Bombeiro Militar,1º GBM,,,,,Brasília,Batalhao ou Grupamento de Bombeiros
seguranca_2.139,139,MULTIPOINT ((188697.6568 8253835.4623)),139,"SAM Quadra ""B"" Bloco ""D""",CBMDF,3343 9035,3º Batalhão de Busca e Salvamento,3º BBS,,,,,Brasília,Batalhao ou Grupamento de Bombeiros
seguranca_2.140,140,MULTIPOINT ((157223.87310000043 8251098.8477)),140,BR 070 Km 22,SSPDF,3500 2150,Sierra 5,,,,,,Ceilandia,
seguranca_2.141,141,MULTIPOINT ((184957.50820000004 8252276.2785)),141,SRES Q 01 Lote 14  AE,PCDF,3361 9798,Divisão de Telecomunicações,DITEL,,,,,Cruzeiro,Delegacia
seguranca_2.142,142,MULTIPOINT ((192961.1752000004 8258641.2149)),142,SHIN 3/5,PCDF,3577 4516,9ª  Delegacia Policial,9ª DP,,,,,Lago Norte,Delegacia
seguranca_2.143,143,MULTIPOINT ((191136.25980000012 8251724.8325)),143,Rodoviária do Plano Piloto - próxima a estação do Metrô,SSPDF,3218 8600,POSTO - NA HORA,,,,,,Brasília,
seguranca_2.144,144,MULTIPOINT ((157287.4254999999 8263056.6903)),144,Área Especial 1 Sul Lote 02/05,DETRANDF,3901-1073,POSTO DE ATENDIMENTO,,,,,,Brazlândia,DETRAN
seguranca_2.145,145,MULTIPOINT ((190533.97929999977 8257808.3502)),145,SQN 415 em frente ao Bloco C,PMDF,,98ª Posto Comunitário Segurança,PCS 098,CPRM,NUACRI/SOSP,3º BPM,,Asa Norte,Posto Comunitario
seguranca_2.146,146,MULTIPOINT ((181038.00229999982 8246535.0191)),146,QI 27/29 ao lado do Guará Shopping,PMDF,,15ª Posto Comunitário Segurança,PCS 015,CPRM,NUACRI/SOSP,4º BPM,,Guará I,Posto Comunitario
seguranca_2.147,147,MULTIPOINT ((180525.31259999983 8248639.7068)),147,QE 20 ao lado do Posto Esso,PMDF,,38ª Posto Comunitário Segurança,PCS 038,CPRM,NUACRI/SOSP,4º BPM,,Guará II,Posto Comunitario
seguranca_2.148,148,MULTIPOINT ((179895.0504999999 8249716.9772)),148,QE 02 AE 01 - Lúcio Costa,PMDF,,117ª Posto Comunitário Segurança,PCS 117,CPRM,NUACRI/SOSP,4º BPM,,Guará II,Posto Comunitario
seguranca_2.149,149,MULTIPOINT ((183837.9793999996 8250440.8982)),149,Canteiro Central entre a CIMFEL e o BRB,PMDF,,68ª Posto Comunitário Segurança,PCS 068,CPRM,NUACRI/SOSP,4º BPM,,SIA,Posto Comunitario
seguranca_2.150,150,MULTIPOINT ((189717.42540000007 8245975.0425)),150,SHIS QI 05 Ponte das Graças,PMDF,,55ª Posto Comunitário Segurança,PCS 055,CPRM,NUACRI/SOSP,5º BPM,,Lago Sul,Posto Comunitario
seguranca_2.151,151,MULTIPOINT ((185988.78870000038 8252812.3622)),151,SER/S Quadra 10 próximo Comércio Local,PMDF,,19ª Posto Comunitário Segurança,PCS 019,CPRM,NUACRI/SOSP,7º BPM,,Cruzeiro,Posto Comunitario
seguranca_2.152,152,MULTIPOINT ((184723.9707000004 8249820.3178)),152,"EQ 4/5 – Área verde, próximo a parada de ônibus",PMDF,,21ª Posto Comunitário Segurança,PCS 021,CPRM,NUACRI/SOSP,7º BPM,,Cruzeiro,Posto Comunitario
seguranca_2.153,153,MULTIPOINT ((185235.1308000004 8251941.0652)),153,"SHCES 609, Lt. 03, em frente à Feira",PMDF,,32ª Posto Comunitário Segurança,PCS 032,CPRM,NUACRI/SOSP,7º BPM,,Cruzeiro,Posto Comunitario
seguranca_2.154,154,MULTIPOINT ((185236.69620000012 8253316.0904)),154,"QD 12, frente ao conjunto V",PMDF,,107ª Posto Comunitário Segurança,PCS 107,CPRM,NUACRI/SOSP,7º BPM,,Octogonal,Posto Comunitario
seguranca_2.155,155,MULTIPOINT ((185849.7154000001 8250214.7676)),155,CLSW 105 (ECS 2),PMDF,,102ª Posto Comunitário Segurança,PCS 102,CPRM,NUACRI/SOSP,7º BPM,,Sudoeste,Posto Comunitario
seguranca_2.156,156,MULTIPOINT ((164059.09080000035 8252374.4443)),156,"Área ao lado da EC 63, frente à rua 01 Cond. Privê",PMDF,,5ª Posto Comunitário Segurança,PCS 005,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.157,157,MULTIPOINT ((166363.04849999957 8249347.6018)),157,"EQNM 3/5, ao lado dos Conjuntos “E” e “G”",PMDF,,24ª Posto Comunitário Segurança,PCS 024,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.158,158,MULTIPOINT ((164139.34159999993 8250531.0094)),158,Expansão do Setor O QNO 17 Cj D Lt 1,PMDF,,25ª Posto Comunitário Segurança,PCS 025,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.159,159,MULTIPOINT ((165122.69620000012 8245685.3862)),159,QNP 28,PMDF,,26ª Posto Comunitário Segurança,PCS 026,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.160,160,MULTIPOINT ((184928.23950000014 8236176.6957)),160,Quadras 16/17 no conj. 1 acesso a Vargem Bonita,PMDF,,58ª Posto Comunitário Segurança,PCS 058,CPRS,NUACRI/SOSP,25º BPM,,Park Way,Posto Comunitario
seguranca_2.161,161,MULTIPOINT ((162872.59549999982 8240968.2057)),161,EQ 831 praça entre os conjuntos 01 e 02,PMDF,,104ª Posto Comunitário Segurança,PCS 104,CPRO,NUACRI/SOSP,11º BPM,,Samambaia,Posto Comunitario
seguranca_2.162,162,MULTIPOINT ((171532.35360000003 8241749.6744)),162,QR 512/514 em frente ADE,PMDF,,42ª Posto Comunitário Segurança,PCS 042,CPRO,NUACRI/SOSP,11º BPM,,Samambaia,Posto Comunitario
seguranca_2.163,163,MULTIPOINT ((165072.39049999975 8241494.069)),163,QN 423 ao lado da Quadra de Esportes,PMDF,,47ª Posto Comunitário Segurança,PCS 047,CPRO,NUACRI/SOSP,11º BPM,,Samambaia,Posto Comunitario
seguranca_2.164,164,MULTIPOINT ((170335.38599999994 8244618.4169)),164,QS 612 Cj A Lt 1,PMDF,,87ª Posto Comunitário Segurança,PCS 087,CPRO,NUACRI/SOSP,11º BPM,,Samambaia,Posto Comunitario
seguranca_2.165,165,MULTIPOINT ((166688.7291000001 8241590.7189)),165,QS 415 frente ao Conj. F,PMDF,,7ª Posto Comunitário Segurança,PCS 007,CPRO,NUACRI/SOSP,11º BPM,,Samambaia,Posto Comunitario
seguranca_2.166,166,MULTIPOINT ((166336.68340000045 8240132.7918)),166,QR 319/321 – Setor Leste,PMDF,,122ª Posto Comunitário Segurança,PCS 122,CPRO,NUACRI/SOSP,11º BPM,,Samambaia,Posto Comunitario
seguranca_2.167,167,MULTIPOINT ((194668.10830000043 8265705.604)),167,Cond. Jardim Europa e Athenas Grande Colorado,PMDF,,18ª Posto Comunitário Segurança,PCS 018,CPRL,NUACRI/SOSP,13º BPM,,Sobradinho,Posto Comunitario
seguranca_2.168,168,MULTIPOINT ((183478.2801000001 8271162.5088)),168,DF 001 ao lado da Escola Classe Lago Oeste,PMDF,,28ª Posto Comunitário Segurança,PCS 028,CPRL,NUACRI/SOSP,13º BPM,,Sobradinho II,Posto Comunitario
seguranca_2.169,169,MULTIPOINT ((195182.1118999999 8269013.3918)),169,Cond. Mini Chácara em frente ES 7B Lote 20,PMDF,,37ª Posto Comunitário Segurança,PCS 037,CPRL,NUACRI/SOSP,13º BPM,,Sobradinho II,Posto Comunitario
seguranca_2.170,170,MULTIPOINT ((192021.73290000018 8273130.2144)),170,Núcleo Rural Engenho Velho Fercal,PMDF,,90ª Posto Comunitário Segurança,PCS 090,CPRL,NUACRI/SOSP,13º BPM,,Sobradinho II,Posto Comunitario
seguranca_2.171,171,MULTIPOINT ((216453.53469999973 8271856.0648)),171,AE EQ 01/02 Vila Buritis,PMDF,,79ª Posto Comunitário Segurança,PCS 079,CPRL,NUACRI/SOSP,14º BPM,,Planaltina,Posto Comunitario
seguranca_2.172,172,MULTIPOINT ((215650.08640000038 8270294.9558)),172,"AE em frente à Q. 09 lote 26 Vila Vicentina (ECS2)",PMDF,,80ª Posto Comunitário Segurança,PCS 080,CPRL,NUACRI/SOSP,14º BPM,,Planaltina,Posto Comunitario
seguranca_2.173,173,MULTIPOINT ((212376.79169999994 8273436.429)),173,"Área em frente ao Mód. I CS 03 Cond. M. D'Ar-mas",PMDF,,85ª Posto Comunitário Segurança,PCS 085,CPRL,NUACRI/SOSP,14º BPM,,Planaltina,Posto Comunitario
seguranca_2.174,174,MULTIPOINT ((215147.2494000001 8269949.1479)),174,Av.Mato Grosso em frente à Q.113 Setor Sul,PMDF,,101ª Posto Comunitário Segurança,PCS 101,CPRL,NUACRI/SOSP,14º BPM,,Planaltina,Posto Comunitario
seguranca_2.175,175,MULTIPOINT ((215407.91119999997 8271556.7868)),175,Av. Independência VNSF frente ao Conj. “G” (ECS2),PMDF,,108ª Posto Comunitário Segurança,PCS 108,CPRL,NUACRI/SOSP,14º BPM,,Planaltina,Posto Comunitario
seguranca_2.176,176,MULTIPOINT ((176616.29930000007 8246563.7742)),176,"Praça entre as ruas 13 e 14, frente a Q. 205",PMDF,,46ª Posto Comunitário Segurança,PCS 046,CPRO,NUACRI/SOSP,17º BPM,,Águas Claras,Posto Comunitario
seguranca_2.177,177,MULTIPOINT ((176695.62480000034 8243117.3052)),177,"Av. Brasília, QS 11, frente ao Conj. “F”- Vila Areal",PMDF,,114ª Posto Comunitário Segurança,PCS 114,CPRO,NUACRI/SOSP,17º BPM,,Águas Claras,Posto Comunitario
seguranca_2.178,178,MULTIPOINT ((187068.3543999996 8246989.8116)),178,EQS 216/416 Asa Sul,PMDF,,10ª Posto Comunitário Segurança,PCS 010,CPRM,NUACRI/SOSP,1º BPM,,Asa Sul,Posto Comunitario
seguranca_2.179,179,MULTIPOINT ((189838.44340000022 8250260.2946)),179,EQS 104/304 (ECS 2),PMDF,,56ª Posto Comunitário Segurança,PCS 056,CPRM,NUACRI/SOSP,1º BPM,,Asa Sul,Posto Comunitario
seguranca_2.180,180,MULTIPOINT ((189513.57610000018 8250735.0064)),180,SEPS 703/704 na Asa Sul,PMDF,,59ª Posto Comunitário Segurança,PCS 059,CPRM,NUACRI/SOSP,1º BPM,,Asa Sul,Posto Comunitario
seguranca_2.181,181,MULTIPOINT ((187092.6967000002 8246002.1745)),181,Rua 08 entrada principal da Vila Telebrasília,PMDF,,62ª Posto Comunitário Segurança,PCS 062,CPRM,NUACRI/SOSP,1º BPM,,Asa Sul,Posto Comunitario
seguranca_2.182,182,MULTIPOINT ((188725.7792999996 8249271.1254)),182,"SQS 308, em frente ao bloco A",PMDF,,73ª Posto Comunitário Segurança,PCS 073,CPRM,NUACRI/SOSP,1º BPM,,Asa Sul,Posto Comunitario
seguranca_2.183,183,MULTIPOINT ((203123.93510000035 8257272.9923)),183,Q. 61 próximo a EC 01 e restaurante comunitário,PMDF,,61ª Posto Comunitário Segurança,PCS 061,CPRL,NUACRI/SOSP,20º BPM,,Itapoã,Posto Comunitario
seguranca_2.184,184,MULTIPOINT ((202524.4419999998 8254518.2472)),184,"Quadra 20 terreno na praça entre os conjuntos M e I",PMDF,,14ª Posto Comunitário Segurança,PCS 014,CPRL,NUACRI/SOSP,20º BPM,,Paranoá,Posto Comunitario
seguranca_2.185,185,MULTIPOINT ((201754.34410000034 8255145.531)),185,"Q.29terreno na praça entre os conjuntos M, K e J",PMDF,,49ª Posto Comunitário Segurança,PCS 049,CPRL,NUACRI/SOSP,20º BPM,,Paranoá,Posto Comunitario
seguranca_2.186,186,MULTIPOINT ((201643.79839999974 8239955.1432)),186,EQ 205/305 balão central do Res. Oeste,PMDF,,2ª Posto Comunitário Segurança,PCS 002,CPRL,NUACRI/SOSP,21º BPM,,São Sebastião,Posto Comunitario
seguranca_2.187,187,MULTIPOINT ((203442.6305999998 8239856.2619)),187,"Frente a Rua 45B, Campo Central",PMDF,,70ª Posto Comunitário Segurança,PCS 070,CPRL,NUACRI/SOSP,21º BPM,,São Sebastião,Posto Comunitario
seguranca_2.188,188,MULTIPOINT ((197769.87689999957 8243409.8683)),188,Canteiro entre a DF 001 e a Av. Comercial,PMDF,,23ª Posto Comunitário Segurança,PCS 023,CPRL,NUACRI/SOSP,24º BPM,,Jardim Botânico,Posto Comunitario
seguranca_2.189,189,MULTIPOINT ((194654.79480000027 8257179.3207)),189,EPPN Quadra 09 Canteiro Central,PMDF,,29ª Posto Comunitário Segurança,PCS 029,CPRL,NUACRI/SOSP,24º BPM,,Lago Norte,Posto Comunitario
seguranca_2.190,190,MULTIPOINT ((191194.34590000007 8259622.2704)),190,EPPN QI 01 entrada do Lago Norte (ECS 2),PMDF,,53ª Posto Comunitário Segurança,PCS 053,CPRL,NUACRI/SOSP,24º BPM,,Lago Norte,Posto Comunitario
seguranca_2.191,191,MULTIPOINT ((174901.83430000022 8223823.2846)),191,QR 100 Conjunto “R” casas 01 e 30,PMDF,,96ª Posto Comunitário Segurança,PCS 096,CPRS,NUACRI/SOSP,26º BPM,,Santa Maria,Posto Comunitario
seguranca_2.192,192,MULTIPOINT ((175669.46600000001 8224422.1186)),192,"QR 202/302, frente ao Conj. “L”",PMDF,,35ª Posto Comunitário Segurança,PCS 035,CPRS,NUACRI/SOSP,26º BPM,,Santa Maria,Posto Comunitario
seguranca_2.193,193,MULTIPOINT ((180177.77570000011 8227173.0445)),193,QR 417/418,PMDF,,9ª Posto Comunitário Segurança,PCS 009,CPRS,NUACRI/SOSP,26º BPM,,Santa Maria,Posto Comunitario
seguranca_2.194,194,MULTIPOINT ((172841.70779999997 8237516.103)),194,Q. 805 ao lado da Escola de Madeira,PMDF,,43ª Posto Comunitário Segurança,PCS 043,CPRS,NUACRI/SOSP,27º BPM,,Recanto das Emas,Posto Comunitario
seguranca_2.195,195,MULTIPOINT ((167188.3984000003 8236534.2198)),195,Q. 310 praça entre os lotes 04 e 06,PMDF,,82ª Posto Comunitário Segurança,PCS 082,CPRS,NUACRI/SOSP,27º BPM,,Recanto das Emas,Posto Comunitario
seguranca_2.196,196,MULTIPOINT ((176811.60919999983 8241544.2884)),196,AC3 ao lado da Brinquedoteca Praça Central,PMDF,,13ª Posto Comunitário Segurança,PCS 013,CPRS,NUACRI/SOSP,28º BPM,,Riacho Fundo I,Posto Comunitario
seguranca_2.197,197,MULTIPOINT ((173918.70440000016 8239755.8114)),197,QN 08 AE (Praça),PMDF,,86ª Posto Comunitário Segurança,PCS 086,CPRS,NUACRI/SOSP,28º BPM,,Riacho Fundo II,Posto Comunitario
seguranca_2.198,198,MULTIPOINT ((171117.3180999998 8250463.0758)),198,Praça do antigo Terminal Rodoviário Norte,PMDF,,50ª Posto Comunitário Segurança,PCS 050,CPRO,NUACRI/SOSP,2º BPM,,Taguatinga,Posto Comunitario
seguranca_2.199,199,MULTIPOINT ((171775.1266999999 8249698.3936)),199,Praça do Bicalho,PMDF,,16ª Posto Comunitário Segurança,PCS 016,CPRO,NUACRI/SOSP,2º BPM,,Taguatinga,Posto Comunitario
seguranca_2.200,200,MULTIPOINT ((172494.68510000035 8247919.7003)),200,CNA – Praça do DI,PMDF,,119ª Posto Comunitário Segurança,PCS 119,CPRO,NUACRI/SOSP,2º BPM,,Taguatinga,Posto Comunitario
seguranca_2.201,201,MULTIPOINT ((190942.27460000012 8253709.6949)),201,EQN 104/304-Via W1 Nort –(ECS 2),PMDF,,52ª Posto Comunitário Segurança,PCS 052,CPRM,NUACRI/SOSP,3º BPM,,Asa Norte,Posto Comunitario
seguranca_2.202,202,MULTIPOINT ((189844.63009999972 8255084.0537)),202,"SEPS. 709/909 - Via W 4 Norte, ao lado do UNI-CEUB",PMDF,,54ª Posto Comunitário Segurança,PCS 054,CPRM,NUACRI/SOSP,3º BPM,,Asa Norte,Posto Comunitario
seguranca_2.203,203,MULTIPOINT ((190170.48249999993 8256347.331)),203,"W 1 Norte – EQN 112/312, em frente ao Bloco “G”",PMDF,,60ª Posto Comunitário Segurança,PCS 060,CPRM,NUACRI/SOSP,3º BPM,,Asa Norte,Posto Comunitario
seguranca_2.204,204,MULTIPOINT ((171986.24689999968 8248462.8215)),272,Shopping Top Mall - CNB 12 lotes 11 e 12,SSPDF,,POSTO - NA HORA,,,,,2006-03-05 00:00:00,Taguatinga,
seguranca_2.205,205,MULTIPOINT ((182630.55069999956 8241896.098)),204,MSPW 6 Conj 2 Área Especial,PMDF,99707204,25ª Batalhao Policia Militar,25º BPM,CPRM,NUACRI/SOSP,25º BPM,,Núcleo Bandeirante,Batalhao da PM
seguranca_2.206,206,MULTIPOINT ((199256.7117999997 8239503.3073)),205,"DF 465, KM 02 Complexo Penitenciário - Fazenda Papuda",PMDF,99823280,19ª Batalhao Policia Militar,19º BPM,CPRL,NUACRI/SOSP,19º BPM,,São Sebastião,Batalhao da PM
seguranca_2.207,207,MULTIPOINT ((194342.31290000025 8263254.6454)),206,DF 001 Norte Km 01 Parque Rodoviário DERDF - Colorado,PMDF,96480917,3ª Batalhao Policiamento de Transito,3º BPTran,CPRL,NUACRI/SOSP,3º BPTran,,Sobradinho,Batalhao da PM
seguranca_2.208,208,MULTIPOINT ((167590.91889999993 8248847.6312)),207,CNM 01 – Ceilândia Centro,PMDF,,27ª Posto Comunitário Segurança,PCS 027,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.209,209,MULTIPOINT ((165301.12260000035 8251659.5397)),208,EQNO 3/5 ao lado do C. E. 09,PMDF,,92ª Posto Comunitário Segurança,PCS 092,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.210,210,MULTIPOINT ((166551.00210000016 8248270.4398)),209,Setor N Norte CNN 2 Área de Feira Livre,PMDF,,106ª Posto Comunitário Segurança,PCS 106,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.211,211,MULTIPOINT ((165614.6160000004 8248941.6743)),210,"EQNM 19/21, próximo a Escola Classe",PMDF,,112ª Posto Comunitário Segurança,PCS 112,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.212,212,MULTIPOINT ((170212.9581000004 8226672.6197)),211,Q. 33 Avenida Pioneiros Setor Oeste,PMDF,,20ª Posto Comunitário Segurança,PCS 020,CPRS,NUACRI/SOSP,9º BPM,,Gama,Posto Comunitario
seguranca_2.213,213,MULTIPOINT ((170904.1677000001 8240526.6449)),212,Núcleo Rural Vargem da Bênção Chac 22,SSPDF,3500 2138,Sierra 3,,,,,,Samambaia,
seguranca_2.214,214,MULTIPOINT ((173500.92179999966 8242388.132)),213,Riacho Fundo II - 1A Etapa,PMDF,,PRDF,,,,,,Riacho Fundo II,Posto Policial
seguranca_2.215,215,MULTIPOINT ((200124.81410000008 8250369.6545)),214,"Estr. Parque Dom Bosco, 595,",PMDF,,PRDF,,,,,,Lago sul,Posto Policial
seguranca_2.216,216,MULTIPOINT ((180062.32959999982 8230646.6257)),215,"Rod. Juscelino Kubitschek, 191",PRF,,Policia Rodoviaria Federal,,,,,,Santa Maria,Policia Rodoviaria Federal
seguranca_2.217,217,MULTIPOINT ((176843.21559999976 8252153.9033)),216,"Estr. Parque Ceilândia, 2850 - DF-095",PMDF,,Posto de Policiamento Rodoviario - BPRv,,,,,,Taguatinga,Posto Policial
seguranca_2.218,218,MULTIPOINT ((194123.47439999972 8263270.6579)),217,"Rodovia DF-001, Km 0,5, s/n",DER,,2º Distrito Rodoviário,,,,,,Sobradinho,DER
seguranca_2.219,219,MULTIPOINT ((218266.45179999992 8281468.5461)),218,DF-128,PMDF,,PRDF,,,,,,Planaltina,Posto Policial
seguranca_2.220,220,MULTIPOINT ((157044.31439999957 8271222.8781)),219,"BR-251, 2542",PMDF,,Posto Policial CPRV  (Companhia de Polícia Rodoviária do Distrito Federal),,,,,,Brazlandia,Posto Policial
seguranca_2.221,221,MULTIPOINT ((220688.7742999997 8240534.5435)),220,"Rodovia DF 130, Km 29 - Setor de Área Especial",DER,,4º Distrito Rodoviário,,,,,,Paranoa,DER
seguranca_2.222,222,MULTIPOINT ((185524.25760000013 8247063.8265)),221,SPO LT 3,CBMDF,3901 2949,Centro de Hidrante,CH,,,,2006-03-01 00:00:00,Brasília,Batalhao ou Grupamento de Bombeiros
seguranca_2.223,223,MULTIPOINT ((171390.24839999992 8244298.8181)),222,QR 416 Área Especial Nº 01,CBMDF,3901 2913,12ª Grupamento de Bombeiro Militar,12ª GBM,,,,2006-03-01 00:00:00,Samambaia,Batalhao ou Grupamento de Bombeiros
seguranca_2.224,224,MULTIPOINT ((187143.25980000012 8244830.8256)),223,QNB Área Especial 01,CBMDF,3901 5987,Comando Operacional,COP,,,,2006-03-01 00:00:00,Taguatinga,Batalhao ou Grupamento de Bombeiros
seguranca_2.225,225,MULTIPOINT ((185720.62229999993 8249878.1109)),224,SAI Sudoeste Bloco A Lote 23 Ed. Sede,PCDF,3361 5926,Departamento de Polícia Circunscricional,DPC,,,,2006-03-31 00:00:00,Brasília,Policia Civil
seguranca_2.226,226,MULTIPOINT ((186252.9073999999 8250011.3137)),225,SAI Sudoeste  Bloco D  Lote 23,PCDF,3362 5825,Departamento de Polícia Especializada,DPE,,,,2006-03-07 00:00:00,Brasília,Policia Civil
seguranca_2.227,227,MULTIPOINT ((185720.62229999993 8249878.1109)),226,SAI Sudoeste Bloco A Lote 23 Ed. Sede,PCDF,3233 7151,Departamento de Polícia Técnica,DPT,,,,2006-03-31 00:00:00,Brasília,Policia Civil
seguranca_2.228,228,MULTIPOINT ((185720.62229999993 8249878.1109)),227,SAI Sudoeste Bloco A Lote 23 Ed. Sede,PCDF,3234 1511,DIREÇÃO-GERAL DA POLÍCIA CIVIL,,,,,2006-03-22 00:00:00,Brasília,Delegacia
seguranca_2.229,229,MULTIPOINT ((186252.9073999999 8250011.3137)),228,SAI Sudoeste  Bloco D,PCDF,3362 5864,Divisão de Cadastro de Roubos e Furtos de Veículos,DCRFV,,,,2006-03-10 00:00:00,Brasília,Delegacia
seguranca_2.230,230,MULTIPOINT ((186252.9073999999 8250011.3137)),229,SAI Sudoeste Bloco D  Prédio do DPE,PCDF,3233 5831,"Divisão de Controle de Armas,  Munições e Explosivos",DAME,,,,2006-03-03 00:00:00,Brasília,Delegacia
seguranca_2.231,231,MULTIPOINT ((187845.28210000042 8253325.3794)),230,SGON Q. 05 Lotes 2/7,PCDF,3343 2234,Divisão de Operações Aéreas,DOA,,,,2006-03-31 00:00:00,Brasília,Delegacia
seguranca_2.232,232,MULTIPOINT ((187845.28210000042 8253325.3794)),231,SGON Quadra 05 Lotes 2/7,PCDF,3343 2723,Divisão de Operações Especiais,DOE,,,,2006-03-31 00:00:00,Brasília,Delegacia
seguranca_2.233,233,MULTIPOINT ((187845.28210000042 8253325.3794)),232,SGON Quadra 05 Lotes 2/7 - Brasília,PCDF,3344 5883,Divisão de Repressão a Sequestros,DRS,,,,2006-03-31 00:00:00,Brasília,Delegacia
seguranca_2.234,234,MULTIPOINT ((182144.37939999998 8250584.004)),233,SIA Trecho 2 Lt 1655,PCDF,3361 9589,Divisão de Repressão aos Crimes de Alta Tecnologia,DICAT,,,,2006-03-31 00:00:00,Brasília,Delegacia
seguranca_2.235,235,MULTIPOINT ((182284.55099999998 8250478.6968)),234,SAI Sudoeste Bloco C,PCDF,3362 5947,Instituto de Criminalística,IC,,,,2006-03-05 00:00:00,Brasília,Policia Civil
seguranca_2.236,236,MULTIPOINT ((185720.62229999993 8249878.1109)),235,SAI Sudoeste Bloco A Lote 23 Ed. Sede,PCDF,3233 0800,Instituto de Identificação,II,,,,2006-03-31 00:00:00,Brasília,Policia Civil
seguranca_2.237,237,MULTIPOINT ((185720.62229999993 8249878.1109)),236,SAI Sudoeste  Bloco B,PCDF,3362 5693,Instituto de Medicina Legal Leonidio Ribeiro,IMLLR,,,,2006-03-04 00:00:00,Brasília,Policia Civil
seguranca_2.238,238,MULTIPOINT ((182284.55099999998 8250478.6968)),237,SIA Trecho 2 Lt 1510,PCDF,3362 5969,Instituto de Pesquisa de DNA Forense,IPDNA,,,,2006-03-06 00:00:00,Brasília,Policia Civil
seguranca_2.239,239,MULTIPOINT ((183845.2770999996 8245400.192)),308,LT. EC 13,PMDF,,Posto Policial 25ª BPM,,,,,2015_07_24,Candangolândia,Posto Policial
seguranca_2.240,240,MULTIPOINT ((185442.25700000022 8248403.8275)),238,"SAIS, Area 4, Setor Policial",PMDF,3445 1219,Quartel do Comando Geral da Policia Militar,QCG,,,,2006-03-01 00:00:00,Brasília,Batalhao da PM
seguranca_2.241,241,MULTIPOINT ((158012.22900000028 8263936.8268)),239,"Area Especial  nº 01,  lote A, Setor Norte",PMDF,3484 8970,9ª Companhia de Policia Militar Independente,9ª CPMInd,,,,2006-03-01 00:00:00,Brazlandia,Batalhao da PM
seguranca_2.242,242,MULTIPOINT ((185490.25710000005 8248160.8274)),240,"Setor Policial Sul,  Lote 4",PMDF,3445 1386,Academia de Policia Militar de Brasília,APMB,,,,2006-03-01 00:00:00,Brasília,Batalhao da PM
seguranca_2.243,243,MULTIPOINT ((184117.40029999986 8244657.5723)),241,Praça do Bosque Lt 10,PMDF,3301 1904,Companhia de Policia Militar Ambiental,CPMA,,,,2006-03-01 00:00:00,Candangolândia,Batalhao da PM
seguranca_2.244,244,MULTIPOINT ((180500.25289999973 8249163.8259)),242,"QI 02, Bloco B, Area Especial",PMDF,3382 5409,6º Batalhao de Policia Militar,6º BPM,,,,2006-03-01 00:00:00,Guará,Batalhao da PM
seguranca_2.245,245,MULTIPOINT ((215810.26999999955 8272363.8587)),243,Area Especial  13 - Setor Norte,PMDF,3389 2911,14º Batalhao de Policia Militar,14º BPM,CPRL,NUACRI/SOSP,14º BPM,2006-03-01 00:00:00,Planaltina,Batalhao da PM
seguranca_2.246,246,MULTIPOINT ((179344.6595999999 8227825.3811)),244,EQ 216/316 Lt A,PMDF,3393 3437,14a Companhia de Policia Independente,14ª CPMInd,,,,2006-03-01 00:00:00,Santa Maria,Batalhao da PM
seguranca_2.247,247,MULTIPOINT ((173117.2483000001 8247157.821)),245,QNB Área Especial nº 08 Av. Sandu Norte,PMDF,3353 8071,Comando do Policiamento  Regional Oeste,CPRO,,,,2006-03-22 00:00:00,Taguatinga,Batalhao da PM
seguranca_2.248,248,MULTIPOINT ((188909.35209999979 8258262.5287)),246,SAIN Quadra 916 Lote E,PCDF,3340 2131,2ª  Delegacia Policial,2ª DP,,,,2006-03-02 00:00:00,Brasília,Delegacia
seguranca_2.249,249,MULTIPOINT ((182144.37939999998 8250584.004)),247,SIA Trecho 2 Lt 1655,PCDF,3234 8166,Corregedoria Geral de Polícia,CGP,,,,2006-03-29 00:00:00,Brasília,Policia Civil
seguranca_2.250,250,MULTIPOINT ((186252.9073999999 8250011.3137)),248,SAI Sudoeste  Bloco D,PCDF,3234 5545,Delegacia de Capturas e Polícia Interestadual – DCPI,DCPI,,,,2006-03-12 00:00:00,Brasília,Delegacia
