FID,fid,the_geom,id,endereco,orgao,telefone,unidade_op,sigla,cpr,georef,area_upm,atualizaca,nome_ra,tipo_2
seguranca_2.56,56,MULTIPOINT ((201893.39140000008 8255554.7178)),56,Q 33 Lt 4,PCDF,3369 4304,6ª  Delegacia Policial,6ª DP,,,,,Paranoá,Delegacia
seguranca_2.57,57,MULTIPOINT ((201765.03390000015 8255461.4435)),57,Q 33 Lt 6,CBMDF,3202 5230,10ª Grupamento de Bombeiro Militar,10ª GBM,,,,,Paranoá,Batalhao ou Grupamento de Bombeiros
seguranca_2.58,58,MULTIPOINT ((216867.92190000042 8269043.1548)),58,SH Arapoanga/Cond Arapoanga Q 8 Cj I AC,PMDF,,6ª Posto Comunitário Segurança,PCS 006,CPRL,NUACRI/SOSP,14º BPM,,Planaltina,Posto Comunitario
seguranca_2.59,59,MULTIPOINT ((215677.12519999966 8272166.6168)),59,Setor de Áreas Especiais Norte AE 9A CBMDF,CBMDF,3901 2880,9ª Companhia Regional de Incêndio,9ª CRI,,,,,Planaltina,Batalhao ou Grupamento de Bombeiros
seguranca_2.60,60,MULTIPOINT ((181920.36259999964 8250485.2811)),60,SIA Trecho 2 CBMDF,CBMDF,3901 2944,3ª Grupamento de Bombeiro Militar,3º GBM,,,,,SIA,Batalhao ou Grupamento de Bombeiros
seguranca_2.61,61,MULTIPOINT ((181843.74959999975 8245540.444)),61,SRIA II QE 38 Cj N Lt 5,PMDF,,63ª Posto Comunitário Segurança,PCS 063,CPRM,NUACRI/SOSP,4º BPM,,Guará II,Posto Comunitario
seguranca_2.62,62,MULTIPOINT ((182388.49010000005 8246258.0746)),62,SRIA II AE 10 Lt A PM,PMDF,99657787,4ª Batalhao Policia Militar,4º BPM,CPRM,NUACRI/SOSP,4º BPM,,Guará II,Batalhao da PM
seguranca_2.63,63,MULTIPOINT ((180712.2581000002 8247364.0551)),63,SRIA II Centro Comunal I Lt 1 Delegacia de polícia,PCDF,3568 5180,4ª  Delegacia Policial,4ª DP,,,,,Guará II,Delegacia
seguranca_2.64,64,MULTIPOINT ((180421.28839999996 8245980.9176)),64,SRIA II QE 40 Cj Q Lt 27,PMDF,,97ª Posto Comunitário Segurança,PCS 097,CPRM,NUACRI/SOSP,4º BPM,,Guará II,Posto Comunitario
seguranca_2.65,65,MULTIPOINT ((181156.37399999984 8245642.5369)),65,SRIA II Pólo de Moda Rua 15 AE 6B CBMDF,CBMDF,3901 2886,2º Grupamento de Atendimento de Emergência Pré-hospitalar,2º GAEPH,,,,,Guará,Batalhao ou Grupamento de Bombeiros
seguranca_2.66,66,MULTIPOINT ((192760.5762 8246773.9635)),66,SHIS QI 11 Lt C,PCDF,3364 0383,10ª  Delegacia Policial,10ª DP,,,,,Lago Sul,Delegacia
seguranca_2.67,67,MULTIPOINT ((196717.73120000027 8244702.8261)),67,SMDB Cj 12 Lt 2,PMDF,,30ª Posto Comunitário Segurança,PCS 030,CPRM,NUACRI/SOSP,5º BPM,,Lago Sul,Posto Comunitario
seguranca_2.68,68,MULTIPOINT ((186988.86280000024 8243493.4431)),68,AeB Aeroporto,CBMDF,3364 9826,5ª Companhia Regional de Incêndio,5ª CRI,,,,,Lago Sul,Batalhao ou Grupamento de Bombeiros
seguranca_2.69,69,MULTIPOINT ((189196.13320000004 8245738.6655)),69,SHIS QI 5 Cj 19 Lt 24,PMDF,3364 6018,1ª Companhia 5º Batalhao de Policia Militar,,,,,,Lago Sul,Batalhao da PM
seguranca_2.70,70,MULTIPOINT ((192727.40919999965 8246710.3664)),70,SHIS QI 11 AE 1,CBMDF,3901 2920,11ª Grupamento de Bombeiro Militar,11ª GBM,,,,,Lago Sul,Batalhao ou Grupamento de Bombeiros
seguranca_2.71,71,MULTIPOINT ((182144.37939999998 8250584.004)),71,SIA Trecho 2 Lt 1655,PCDF,3234 1315,Divisão de Estatística e Planejamento Operacional,DEPO,,,,,Brasília,Delegacia
seguranca_2.72,72,MULTIPOINT ((171100.9205 8225407.29)),72,Setor Sul Q 7 AE 7 Lt C,PMDF,,48ª Posto Comunitário Segurança,PCS 048,CPRS,NUACRI/SOSP,9º BPM,,Gama,Posto Comunitario
seguranca_2.73,73,MULTIPOINT ((181776.35479999986 8250756.3277)),73,SIA Trecho 3 Lt 2050/2060,SSPDF,3363 5153,Corregedoria,CORREGEDORIA,,,,,Guará,
seguranca_2.74,74,MULTIPOINT ((180498.84399999958 8249157.8259)),74,SRIA I QI 2 Bl B Lt 23,PMDF,96117145,1ª Batalhao Policia Escolar,1º BPEsc,,NUACRI/SOSP,1º BPEsc,,Guará,Batalhao da PM
seguranca_2.75,75,MULTIPOINT ((168097.8680999996 8249447.4152)),75,Setor M AE 2,CBMDF,3901 8363,8ª Grupamento de Bombeiro Militar,8ª GBM,,,,,Ceilândia,Batalhao ou Grupamento de Bombeiros
seguranca_2.76,76,MULTIPOINT ((180529.73539999966 8249015.09)),76,SRIA I QE 2 Lt Q Bombeiros,CBMDF,3901 2899,13ª Grupamento de Bombeiro Militar,13ª GBM,,,,,Guará,Batalhao ou Grupamento de Bombeiros
seguranca_2.77,77,MULTIPOINT ((179738.2625000002 8252476.1518)),77,SCIA Q 10 Cj 1 Lt 1,PMDF,,57ª Posto Comunitário Segurança,PCS 057,CPRM,NUACRI/SOSP,4º BPM,,SCIA,Posto Comunitario
