nome,lon,lat,ra
EC VILA NOVA,-47.75935576652743,-15.913652672359826,SAO SEBASTIAO
CEF NOVA BETANIA,-47.79311215539608,-15.94978929739399,SAO SEBASTIAO
ESC AGUA VIVA,-48.20126145645919,-15.68010345600391,BRAZLANDIA
IFB - CAMPUS SAO SEBASTIAO,-47.78014138444936,-15.89129330572258,SAO SEBASTIAO
ARVENSE - CED,-47.900317058932515,-15.747842609234134,BRASILIA
C CENECISTA DE EDUC PROFISSIONAL FELIPE TIAGO GOMES,-47.87683494033886,-15.76121028959825,BRASILIA
CED ADVENTISTA MILTON AFONSO,-47.904253267508665,-15.82982698258786,BRASILIA
CED CANARINHO,-47.91172626983042,-15.829150917497511,BRASILIA
CED JUCELINO KUBITSCHEK - ASA NORTE II,-47.88474932376111,-15.748766936396057,BRASILIA
CED JUSCELINO KUBITSCHEK - ASA NORTE I,-47.899404300135856,-15.751708617381496,BRASILIA
CED LEONARDO DA VINCI,-47.89788135275536,-15.800175355989246,BRASILIA
CED LEONARDO DA VINCI - UNID ASA NORTE,-47.90083194158384,-15.746574843367783,BRASILIA
CED MARIA AUXILIADORA,-47.89580622824902,-15.79932297419554,BRASILIA
CED NOSSA SENHORA DO ROSARIO,-47.910690605961065,-15.809721647549816,BRASILIA
CED RENASCENCA,-47.90205445069211,-15.748824886160682,BRASILIA
CED SAGRADA FAMILIA,-47.893406979847,-15.771601912824588,BRASILIA
CED SAO CAMILO,-47.90129060552721,-15.747647448494359,BRASILIA
CED SIGMA,-47.918276310106606,-15.813535817566983,BRASILIA
CED SIGMA - ASA NORTE,-47.8967143530601,-15.759727291785875,BRASILIA
JI CASA DO CANDANGO,-47.883571513867814,-15.811237879429873,BRASILIA
CEI - ASSEFE,-47.881561779328074,-15.821597380931669,BRASILIA
CEP SENAC - JESSE FREIRE,-47.89020955028098,-15.796175154944175,BRASILIA
CEP SENAC - PLANO PILOTO,-47.89749844942901,-15.799752764095055,BRASILIA
COC BRASILIA,-47.8863419808265,-15.81446061219805,BRASILIA
COL ALUB,-47.89018976485938,-15.771130658534881,BRASILIA
COL BATISTA DE BRASILIA,-47.903662529894106,-15.803243819402987,BRASILIA
COL COR JESU,-47.91785176803697,-15.838249284200304,BRASILIA
COL DOM BOSCO,-47.894501421840694,-15.799710807171913,BRASILIA
COL GALOIS,-47.879169511221306,-15.805894903826971,BRASILIA
COL IMACULADA CONCEICAO,-47.892378635543466,-15.820261959332408,BRASILIA
COL LA SALLE BRASILIA,-47.9057383133834,-15.807072596278708,BRASILIA
COL LE PETIT GALOIS,-47.911360118096965,-15.80891100827248,BRASILIA
COL LOGOSOFICO GONZALEZ PECOTCHE,-47.88998121375958,-15.77667550263478,BRASILIA
COL MADRE CARMEN SALLES,-47.87398502512955,-15.774752486678635,BRASILIA
CEF 04 DO PARANOA,-47.77942261801106,-15.783625615403919,PARANOA
COL MARISTA DE BRASILIA - EDUC INF E ENS FUND,-47.899560194998934,-15.826108984823271,BRASILIA
COL MARISTA DE BRASILIA - ENS MEDIO,-47.91632027277116,-15.83723310895746,BRASILIA
COL MARISTA JOAO PAULO II,-47.88862065138586,-15.781902875626304,BRASILIA
COL MAURICIO SALLES DE MELLO,-47.892651174715574,-15.766987586421823,BRASILIA
COL MONTEIRO LOBATO,-47.89712618753348,-15.75009034928244,BRASILIA
COL ALUB SEDE I,-48.0464473381592,-15.842000607678605,TAGUATINGA
COL MORAES REGO,-47.90324600166242,-15.806256128119196,BRASILIA
COL NOTRE DAME,-47.92524860929626,-15.821168146566116,BRASILIA
COL PODION,-47.896684032235186,-15.754410632285417,BRASILIA
COL SAGRADO CORACAO DE MARIA,-47.89000773761059,-15.782309090503208,BRASILIA
COL SANTA DOROTEIA,-47.89936267653313,-15.758064850021473,BRASILIA
COL SANTA ROSA,-47.880164211805464,-15.807424473379719,BRASILIA
COL SERIOS,-47.89849665658499,-15.796764633427795,BRASILIA
CR E PRE-ESC FUNDACAO CABO FRIO,-47.876263363905316,-15.761979035791345,BRASILIA
CR MAT JI MEU PEQUENO MUNDO,-47.922562074081206,-15.837012779297865,BRASILIA
CR NOSSA SENHORA DA DIVINA PROVIDENCIA,-47.90101577118422,-15.821409264060796,BRASILIA
CRESCA,-47.899225811818305,-15.80141696045189,BRASILIA
EDUCANDARIO JOSE DE ALENCAR,-47.89661015848049,-15.754559754842298,BRASILIA
ESC AMERICANA DE BRASILIA,-47.88970052616906,-15.817569179937783,BRASILIA
ESC ANJO DA GUARDA,-47.9010712420176,-15.751892964113528,BRASILIA
ESC CANADENSE DE BRASILIA,-47.914977030296996,-15.796155347503571,BRASILIA
ESC CANARINHO AMARELO,-47.880794871559395,-15.76115522509384,BRASILIA
CEI 203 DE SANTA MARIA,-48.03347968295265,-16.037269082603643,SANTA MARIA
ESC CANARINHO - ASA SUL,-47.911825960348715,-15.829218272119832,BRASILIA
ESC CENECISTA DE BRASILIA,-47.8760613915458,-15.760497242837728,BRASILIA
ESC CETEB DE JOVENS E ADULTOS,-47.884123807915955,-15.811670256451526,BRASILIA
ESC DNA,-47.877671588034346,-15.77439105954516,BRASILIA
ESC FRANCISCANA NOSSA SRA DE FATIMA,-47.9066249834139,-15.8061797081649,BRASILIA
ESC FUND ALVACIR VITE ROSSI,-47.89367899935103,-15.75901571733128,BRASILIA
ESC GOLFINHO DOURADO,-47.89544107782587,-15.738609387849051,BRASILIA
SIBIPIRUNA -ESC INF,-47.89913242220627,-15.74385199938974,BRASILIA
ESC INTERNACIONAL BRASIL-SUICA,-47.902819700877345,-15.802034992149736,BRASILIA
ESC MARIA MONTESSORI - EF,-47.922498264984384,-15.814721114006133,BRASILIA
ESC MOARA,-47.889382385225915,-15.779629116250451,BRASILIA
ESC NACIONAL DE ACUPUNTURA,-47.89049188026657,-15.81353203411912,BRASILIA
ESC PAROQUIAL SANTO ANTONIO,-47.91698898354026,-15.813380093873706,BRASILIA
ESC PEDACINHO DO CEU - ASA NORTE,-47.887415955686826,-15.763177616701784,BRASILIA
ESC SAGRADA FAMILIA MENINO DEUS,-47.9013979905435,-15.744801373100259,BRASILIA
ESC TECNICA BRASILIENSE DE PROTESE DENTARIA,-47.90313490871995,-15.828026719070474,BRASILIA
ESC URSINHO FELIZ,-47.91597910936006,-15.82373653406532,BRASILIA
